id,target,file_path,fold,preds
00042890562ff68,0,./input/seti-breakthrough-listen/train/0/00042890562ff68.npy,2,0.044807848
0005364cdcb8e5b,0,./input/seti-breakthrough-listen/train/0/0005364cdcb8e5b.npy,2,0.050310075
00096524e6670d6,0,./input/seti-breakthrough-listen/train/0/00096524e6670d6.npy,2,0.050114613
0012ef703e41ef0,0,./input/seti-breakthrough-listen/train/0/0012ef703e41ef0.npy,2,0.057811998
0014d4e495190df,0,./input/seti-breakthrough-listen/train/0/0014d4e495190df.npy,2,0.04191392
0017643c1c5c254,0,./input/seti-breakthrough-listen/train/0/0017643c1c5c254.npy,2,0.015717851
00225000069d6f0,0,./input/seti-breakthrough-listen/train/0/00225000069d6f0.npy,2,0.016912924
0024132600c5680,0,./input/seti-breakthrough-listen/train/0/0024132600c5680.npy,2,0.043924898
0026497453caaaf,0,./input/seti-breakthrough-listen/train/0/0026497453caaaf.npy,2,0.015205257
00266da7e04f9d6,0,./input/seti-breakthrough-listen/train/0/00266da7e04f9d6.npy,2,0.035426795
003067b1680f13e,0,./input/seti-breakthrough-listen/train/0/003067b1680f13e.npy,2,0.043470882
0034a245eb13e2a,0,./input/seti-breakthrough-listen/train/0/0034a245eb13e2a.npy,2,0.02168912
0035861daddbae4,0,./input/seti-breakthrough-listen/train/0/0035861daddbae4.npy,2,0.01748028
00412077d1aef6f,1,./input/seti-breakthrough-listen/train/0/00412077d1aef6f.npy,2,0.9999945
004224504f5d316,0,./input/seti-breakthrough-listen/train/0/004224504f5d316.npy,2,0.026773287
0044e4104dffb33,0,./input/seti-breakthrough-listen/train/0/0044e4104dffb33.npy,2,0.030229071
0047dc6999e58b5,0,./input/seti-breakthrough-listen/train/0/0047dc6999e58b5.npy,2,0.12087822
004933b94083be2,1,./input/seti-breakthrough-listen/train/0/004933b94083be2.npy,2,0.06322995
004b59ff05909f6,0,./input/seti-breakthrough-listen/train/0/004b59ff05909f6.npy,2,0.0067584137
0055e9458a0f03a,1,./input/seti-breakthrough-listen/train/0/0055e9458a0f03a.npy,2,0.041823965
005931cc0972f70,0,./input/seti-breakthrough-listen/train/0/005931cc0972f70.npy,2,0.050610106
005c4172dd55bac,0,./input/seti-breakthrough-listen/train/0/005c4172dd55bac.npy,2,0.017186427
00671a874ba117b,0,./input/seti-breakthrough-listen/train/0/00671a874ba117b.npy,2,0.0022030964
0073317b276d787,0,./input/seti-breakthrough-listen/train/0/0073317b276d787.npy,2,0.0035591
0074d1d02a64f47,0,./input/seti-breakthrough-listen/train/0/0074d1d02a64f47.npy,2,0.044169873
0080e5e1ef92b4c,1,./input/seti-breakthrough-listen/train/0/0080e5e1ef92b4c.npy,2,0.99999964
008682591923741,0,./input/seti-breakthrough-listen/train/0/008682591923741.npy,2,0.05856239
008881813508f71,0,./input/seti-breakthrough-listen/train/0/008881813508f71.npy,2,0.04739085
008ddfd3167c07e,0,./input/seti-breakthrough-listen/train/0/008ddfd3167c07e.npy,2,0.051513482
00918aa4663217b,0,./input/seti-breakthrough-listen/train/0/00918aa4663217b.npy,2,0.038253453
0091b822d0e3c46,0,./input/seti-breakthrough-listen/train/0/0091b822d0e3c46.npy,2,0.0289343
0094823eee93115,0,./input/seti-breakthrough-listen/train/0/0094823eee93115.npy,2,0.036719155
0095b95cabc9c7e,0,./input/seti-breakthrough-listen/train/0/0095b95cabc9c7e.npy,2,0.016071439
00973367d6481e2,1,./input/seti-breakthrough-listen/train/0/00973367d6481e2.npy,2,0.062159996
0097ec9a99008e9,1,./input/seti-breakthrough-listen/train/0/0097ec9a99008e9.npy,2,0.063748956
0098949a983353d,0,./input/seti-breakthrough-listen/train/0/0098949a983353d.npy,2,0.016242832
00aa686659da0ac,0,./input/seti-breakthrough-listen/train/0/00aa686659da0ac.npy,2,0.09994505
00afa5ed6d90512,0,./input/seti-breakthrough-listen/train/0/00afa5ed6d90512.npy,2,0.04549713
00b12f02129d993,0,./input/seti-breakthrough-listen/train/0/00b12f02129d993.npy,2,0.0047731423
00b331c067fef76,0,./input/seti-breakthrough-listen/train/0/00b331c067fef76.npy,2,0.0065245167
00b4347b13585b3,1,./input/seti-breakthrough-listen/train/0/00b4347b13585b3.npy,2,0.034569066
00cd7bb383df25e,0,./input/seti-breakthrough-listen/train/0/00cd7bb383df25e.npy,2,0.05170156
00d26d738293e57,0,./input/seti-breakthrough-listen/train/0/00d26d738293e57.npy,2,0.067607604
00d58f2c8892e22,0,./input/seti-breakthrough-listen/train/0/00d58f2c8892e22.npy,2,0.017036235
00d80238102b3f9,1,./input/seti-breakthrough-listen/train/0/00d80238102b3f9.npy,2,0.9999995
00d8ff65c53d347,0,./input/seti-breakthrough-listen/train/0/00d8ff65c53d347.npy,2,0.0045992853
00db6f5d5db1ff4,0,./input/seti-breakthrough-listen/train/0/00db6f5d5db1ff4.npy,2,0.030554017
00dc7a22b4d1fec,0,./input/seti-breakthrough-listen/train/0/00dc7a22b4d1fec.npy,2,0.05300938
00df498ae66a514,1,./input/seti-breakthrough-listen/train/0/00df498ae66a514.npy,2,0.085273154
00edbbb84f23f34,1,./input/seti-breakthrough-listen/train/0/00edbbb84f23f34.npy,2,0.14668326
00eddf9dc21d918,0,./input/seti-breakthrough-listen/train/0/00eddf9dc21d918.npy,2,0.030301342
00f0edf821fa96c,1,./input/seti-breakthrough-listen/train/0/00f0edf821fa96c.npy,2,0.9976681
00fb29a95bfa2c4,0,./input/seti-breakthrough-listen/train/0/00fb29a95bfa2c4.npy,2,0.024608063
00fe2a3167f9f7e,0,./input/seti-breakthrough-listen/train/0/00fe2a3167f9f7e.npy,2,0.052789975
0105e5c5edefc5b,0,./input/seti-breakthrough-listen/train/0/0105e5c5edefc5b.npy,2,0.05159027
010787bf22658ab,0,./input/seti-breakthrough-listen/train/0/010787bf22658ab.npy,2,0.021370608
010b4f7aec8012e,0,./input/seti-breakthrough-listen/train/0/010b4f7aec8012e.npy,2,0.07053402
010f8af2ec6329a,0,./input/seti-breakthrough-listen/train/0/010f8af2ec6329a.npy,2,0.011249965
01182c768b47146,0,./input/seti-breakthrough-listen/train/0/01182c768b47146.npy,2,0.060893312
011b28e735d732d,1,./input/seti-breakthrough-listen/train/0/011b28e735d732d.npy,2,0.99999976
0124d4811c8c5c1,0,./input/seti-breakthrough-listen/train/0/0124d4811c8c5c1.npy,2,0.06482189
012a6c71db65ad7,0,./input/seti-breakthrough-listen/train/0/012a6c71db65ad7.npy,2,0.054222934
012ba69226522f6,0,./input/seti-breakthrough-listen/train/0/012ba69226522f6.npy,2,0.029696865
012cf4a9be975e2,0,./input/seti-breakthrough-listen/train/0/012cf4a9be975e2.npy,2,0.0026306654
012ea7cb991222a,0,./input/seti-breakthrough-listen/train/0/012ea7cb991222a.npy,2,0.015919391
0135beb4df1a9fa,0,./input/seti-breakthrough-listen/train/0/0135beb4df1a9fa.npy,2,0.063713335
0138596db839da9,0,./input/seti-breakthrough-listen/train/0/0138596db839da9.npy,2,0.0027794128
013d6ea70a9deaa,0,./input/seti-breakthrough-listen/train/0/013d6ea70a9deaa.npy,2,0.057448298
013f7c0cc012e36,0,./input/seti-breakthrough-listen/train/0/013f7c0cc012e36.npy,2,0.0080046635
0141be6ad276dba,0,./input/seti-breakthrough-listen/train/0/0141be6ad276dba.npy,2,0.011607747
0144ec13495476d,0,./input/seti-breakthrough-listen/train/0/0144ec13495476d.npy,2,0.27409902
0145868affdfed0,0,./input/seti-breakthrough-listen/train/0/0145868affdfed0.npy,2,0.06664235
014c08915b07898,0,./input/seti-breakthrough-listen/train/0/014c08915b07898.npy,2,0.0069024325
01510907c734352,0,./input/seti-breakthrough-listen/train/0/01510907c734352.npy,2,0.010371235
01536b433f5d113,0,./input/seti-breakthrough-listen/train/0/01536b433f5d113.npy,2,0.0018838968
0153ce8ab752c97,0,./input/seti-breakthrough-listen/train/0/0153ce8ab752c97.npy,2,0.022670614
0161980dfd7df0d,0,./input/seti-breakthrough-listen/train/0/0161980dfd7df0d.npy,2,0.041359916
016ddf03db72c5a,0,./input/seti-breakthrough-listen/train/0/016ddf03db72c5a.npy,2,0.02099176
016fd0f81f7cc21,0,./input/seti-breakthrough-listen/train/0/016fd0f81f7cc21.npy,2,0.05149287
0176416e740ea71,0,./input/seti-breakthrough-listen/train/0/0176416e740ea71.npy,2,0.030396665
018124918ba32c9,0,./input/seti-breakthrough-listen/train/0/018124918ba32c9.npy,2,0.042927068
018412708de6225,0,./input/seti-breakthrough-listen/train/0/018412708de6225.npy,2,0.23541795
01873f261ed4e85,0,./input/seti-breakthrough-listen/train/0/01873f261ed4e85.npy,2,0.0076739644
0191f6bffa3f759,0,./input/seti-breakthrough-listen/train/0/0191f6bffa3f759.npy,2,0.035239957
01942babd58f7f7,0,./input/seti-breakthrough-listen/train/0/01942babd58f7f7.npy,2,0.18100238
01949813672be23,1,./input/seti-breakthrough-listen/train/0/01949813672be23.npy,2,0.05120942
019f97f0d4c18fb,0,./input/seti-breakthrough-listen/train/0/019f97f0d4c18fb.npy,2,0.014963355
019fc38921b545c,0,./input/seti-breakthrough-listen/train/0/019fc38921b545c.npy,2,0.07594283
01a1bd190c843f2,0,./input/seti-breakthrough-listen/train/0/01a1bd190c843f2.npy,2,0.05427743
01a1e9ad6266072,0,./input/seti-breakthrough-listen/train/0/01a1e9ad6266072.npy,2,0.021057516
01a884ca0f278d7,0,./input/seti-breakthrough-listen/train/0/01a884ca0f278d7.npy,2,0.015881607
01a9e10ded6f230,0,./input/seti-breakthrough-listen/train/0/01a9e10ded6f230.npy,2,0.0071419976
01aa538db2c0af2,0,./input/seti-breakthrough-listen/train/0/01aa538db2c0af2.npy,2,0.008141095
