id,target
000bf832cae9ff1,0.067575514
000c74cc71a1140,0.24348634
000f5f9851161d3,0.06584159
000f7499e95aba6,0.11216381
00133ce6ec257f9,0.06891836
0014926d972f4f5,0.055515233
0014e523a391acf,0.06494062
0015d7e2d516140,0.055073872
001891be58f53d4,0.11905433
001bb1d7a769e7c,0.09215666
001bbef94e70824,0.06681529
0021c680a8d59e9,0.55776125
0022e30fd1ebe55,0.05944631
00253c0f136e834,0.08245408
00254afb7e880dc,0.065881565
0025ed1285820e7,0.16332023
0026e4e93a2b4fe,0.0789867
0029a34b563d964,0.06948729
002a40e35cb4963,0.07025183
002a62a9b6d192c,0.07514151
002b9aecde40ab0,0.078159
002b9bc62409279,0.07378815
002c8276e93da37,0.66068906
002ff8e930177de,0.41214305
00314d4632fe872,0.75591886
00317106f0d7fbd,0.07390502
0032149f874e62d,0.06983958
003240ddd6178fd,0.07846597
00325ca34e63626,0.090689294
0033557bf4fe56a,0.20609367
003413d1a8d077e,0.06356517
0036dda5186a1bc,0.074119344
003d8b8446088f3,0.069350466
003f09c38b26c42,0.061297983
0040bb451274bb2,0.7358904
0040c0c4d81e49a,0.026935304
004322758602488,0.052581016
00446eff14fbbd8,0.05639466
004592bc2778a95,0.07125122
004740044e941a0,0.75578845
0047fc1584f170d,0.07012844
0048eba7107927e,0.09540452
004b722eb2ba835,0.041276447
004d1e194398974,0.027958946
004d5f4e9521db6,0.07253434
004e25537986ac4,0.068566695
004f442182fff78,0.07792856
005271243f7c898,0.06909124
00535a55fe98987,0.07993906
0053fdcb72c344b,0.07744537
00552c1f1d86a9a,0.08426148
0055d69940545dc,0.074094445
0056c8073708b20,0.08958933
005b1167b329950,0.62300247
005b37fbd01f73b,0.6236838
005c4df6fa41056,0.06750769
005d0ff164f2915,0.06928377
005e415ae551799,0.08697438
005e897502b26f5,0.050347693
005ecf53820e43a,0.76533675
005ef092e54e078,0.16594286
005fab671f50a1c,0.04701089
006316a2f05abe0,0.08132958
00651188447ed04,0.07495277
006898e53c9aa8d,0.093209356
0068b35697d2a92,0.06235952
006ae0147f32e31,0.108931676
006c5e411276ce2,0.048194304
006e25bf40d5ccd,0.48753887
006eb89d02f12a4,0.08579759
006f093cbe14961,0.22149935
006fa6aa2e919fc,0.0834934
00725210b735603,0.10802539
00755724c13fc0e,0.11455311
00763a406348dcf,0.6669711
0076d2eafa09de4,0.74412566
0078517a59a3cdb,0.089392565
007a3e1eb788310,0.08045047
007bf72d860e3c1,0.4440869
007e50ffe9e9499,0.08613792
007faa1ee0970ae,0.092218354
00829a9f070cedc,0.09785314
00837447af491ea,0.7445522
00839672bb1f293,0.063946724
00844b07371b7a8,0.62378067
0085add05816486,0.077957585
00875bd9e4b440f,0.069986865
00914df5426ec41,0.07338196
00918b7ed237ee6,0.08447485
00968af3e3d4d88,0.075433746
0096f098e4a7859,0.11546377
009929e746d74da,0.051120415
0099662c394e3b3,0.095140964
009cc1b9e8b4439,0.094132334
009d9146cd229c1,0.7009741
009dc4627b81687,0.087169334
009e8be12bc19b0,0.24289292
009f1005ca5f9df,0.05565888
009f332e4dbdc56,0.040585212
00a8d2538f120ae,0.48873043
00a9da79c5d25c8,0.07961628
00aaba868e96c0b,0.6466699
00ac200fca385d0,0.068281844
00ac8dfbe96930c,0.09099336
00afa7d72e5fc0c,0.4936218
00b7d2259828c00,0.062405437
00b8c818c79735c,0.07639767
00bab9c25ece211,0.08922373
00bb353964cf89d,0.08824619
00bc20b0c93d9a7,0.078726225
00bc77d80230235,0.63062555
00c02deddad45c2,0.68980145
00c0a3fb05774a1,0.08019757
00c5f6b8c06ce6b,0.54191875
00c8490baee2ee1,0.072114155
00cc0d20ae4e03b,0.061201923
00cef221d85646d,0.069266215
00d45e3b9067261,0.084416606
00d6f16f8d2e041,0.6952037
00d740221344219,0.28137854
00d740bb89c8e9a,0.072899684
00d7e7401d96873,0.07109347
00d9de95f03c93a,0.05299767
00d9dfc6a3734ff,0.10370979
00dbbde4ea3586a,0.06222394
00dc1db87ad101f,0.08002567
00dc22cf14a908e,0.07910769
00e42bcc5780854,0.33375686
00e46ee58140648,0.08458362
00e5457e0e3fbcb,0.7672068
00e6cd4757a7d51,0.7449026
00e8043beae0254,0.7362846
00e83a0cd0dd43b,0.07487152
00e8e6d83b9a09d,0.07181223
00ee020b7502c01,0.08986111
00ee8f8c73c6f3f,0.054992747
00f75589c203627,0.032673165
00f8584aa55a0ba,0.07952289
00fadba0fa46fdc,0.078762844
00fce3d8512a0f0,0.65265864
00fd31bc2ae5880,0.074883826
00ff7f8d03e1117,0.06063728
00ff9e7332c2ede,0.087683275
01005ad268ba417,0.0629009
0100a97fe54d3cb,0.087274045
0101875cc9bd555,0.56366
01049b1e53493e1,0.08060208
0104a0c1ef69201,0.088229045
0104e7f7a71a540,0.040937252
010514bc3cb20c4,0.071964726
0105eb2a545fc83,0.7485611
010635daf9d022e,0.6776855
01069a0cfdcb37b,0.077715054
0106d34d1ecbefb,0.03601374
010ae30a4747e3a,0.095722765
010c74f84d27155,0.078805834
01112200e8c8388,0.077192225
0117fc325ceb62c,0.718142
01194fc08920bd6,0.05897077
011cac8258ba975,0.57369536
011e8597ae68ba7,0.07447617
011ea7d1bc83acb,0.06606842
011fe26d48fcb77,0.08841232
01201fc38c67f8b,0.07288523
0121106d490a45d,0.053390115
012186303c6ac57,0.0705352
0121c2c599d0079,0.0728159
012293c3625b269,0.06547636
0123711b6e74bdf,0.090905614
0125c559545f119,0.07787029
012913056a1e636,0.6864964
0129788c483fed5,0.120014414
012bec78bdba901,0.08129856
012db914bdc2b61,0.6140297
012fb1f92fb6399,0.39105746
01303d1db60bdd2,0.08286072
01343438a7b0eec,0.33277828
01375bc99a16b27,0.035932068
013a6ba7d0f7720,0.048289377
013a82dfdce6ed2,0.06619094
013a9dd2e7705c0,0.101397336
013b22612f4ab57,0.061005197
013c44638a4f00a,0.75969917
013c7d0572053b8,0.07167859
013e894bba5540b,0.4350136
01413b9bb03409f,0.64977765
0142256221c634d,0.071494155
0143f7f72c7b69f,0.075293094
0146120f9c854b7,0.062340274
0147d7ce913fbc0,0.06615538
0148f51fb2b8fb7,0.093369365
014a8e41237b42e,0.07481283
014b4e029b2c994,0.06287936
014d8af92036749,0.68597525
014da31a62bbc44,0.069604315
014f66dc5692f54,0.06947181
01515c48b1aed5f,0.5075925
01552658815b8c5,0.0864018
01579e2d41d137c,0.060535066
015cc564c196c57,0.11715308
015d4386b7af107,0.07403985
015df046433ede9,0.0725142
015ecceb96bda26,0.06551945
015f6fbf057f8ef,0.062245846
016031954d26309,0.09703255
0163eda054cf17e,0.07792728
01665dd69f6e874,0.63706625
0166d7ef763447b,0.6333149
016b3078f0faa66,0.07283487
016c1184db6bcb3,0.08778931
016e14737fcb24e,0.063614
016e8381d2a2670,0.70855695
0170a6b6f44e167,0.07032558
0170ca22392ffd5,0.08108729
01745682b307973,0.062395148
0178f3858ecb341,0.5562359
017cdeb3e599c09,0.08511718
017e2298a1db23d,0.069529876
017e7058e4140f7,0.05005397
017fe1821051b5e,0.086842395
0181c22e89812f2,0.07551078
0181edeedd89151,0.080152445
